Log ID,Log Text,Predicted Class,Prediction Confidence,Batch Number,Anomaly Triggered,Healing Action
1,instruction cache parity error corrected,normal,0.9730206,1,No,N/A
2,instruction cache parity error corrected,normal,0.9730206,1,No,N/A
3,instruction cache parity error corrected,normal,0.9730206,1,No,N/A
4,instruction cache parity error corrected,normal,0.9730206,1,No,N/A
5,63543 double-hummer alignment exceptions,normal,0.9999551,1,No,N/A
6,<*> double-hummer alignment exceptions,normal,0.9996401,1,No,N/A
7,<*> double-hummer alignment exceptions,normal,0.9996401,1,No,N/A
8,CE sym 2. at 0x0b85eee0. mask 0x05,normal,0.99998826,1,No,N/A
9,ciod: failed to read message prefix on control stream (CioStream socket to 172.16.96.116:33569,failure,1.5083744e-10,1,No,N/A
10,ciod: failed to read message prefix on control stream (CioStream socket to <*>,failure,2.0186444e-05,1,No,N/A
11,CE sym <*> at <*> mask <*>,normal,0.9990988,1,No,N/A
12,generating core.2275,normal,0.99669814,1,No,N/A
13,generating <*>,normal,0.99316055,1,No,N/A
14,generating <*>,normal,0.99316055,1,No,N/A
15,generating <*>,normal,0.99316055,1,No,N/A
16,generating <*>,normal,0.99316055,1,No,N/A
17,generating <*>,normal,0.99316055,1,No,N/A
18,generating <*>,normal,0.99316055,1,No,N/A
19,generating <*>,normal,0.99316055,1,No,N/A
20,generating <*>,normal,0.99316055,1,No,N/A
21,generating <*>,normal,0.99316055,1,No,N/A
22,generating <*>,normal,0.99316055,1,No,N/A
23,generating <*>,normal,0.99316055,1,No,N/A
24,generating <*>,normal,0.99316055,1,No,N/A
25,generating <*>,normal,0.99316055,1,No,N/A
26,generating <*>,normal,0.99316055,1,No,N/A
27,generating <*>,normal,0.99316055,1,No,N/A
28,generating <*>,normal,0.99316055,1,No,N/A
29,generating <*>,normal,0.99316055,1,No,N/A
30,generating <*>,normal,0.99316055,1,No,N/A
31,generating <*>,normal,0.99316055,1,No,N/A
32,force load/store alignment...............0,failure,0.081563786,1,No,N/A
33,generating <*>,normal,0.99316055,1,No,N/A
34,generating <*>,normal,0.99316055,1,No,N/A
35,generating <*>,normal,0.99316055,1,No,N/A
36,generating <*>,normal,0.99316055,1,No,N/A
37,generating <*>,normal,0.99316055,1,No,N/A
38,generating <*>,normal,0.99316055,1,No,N/A
39,generating <*>,normal,0.99316055,1,No,N/A
40,generating <*>,normal,0.99316055,1,No,N/A
41,generating <*>,normal,0.99316055,1,No,N/A
42,generating <*>,normal,0.99316055,1,No,N/A
43,generating <*>,normal,0.99316055,1,No,N/A
44,generating <*>,normal,0.99316055,1,No,N/A
45,generating <*>,normal,0.99316055,1,No,N/A
46,generating <*>,normal,0.99316055,1,No,N/A
47,generating <*>,normal,0.99316055,1,No,N/A
48,generating <*>,normal,0.99316055,1,No,N/A
49,generating <*>,normal,0.99316055,1,No,N/A
50,generating <*>,normal,0.99316055,1,No,N/A
51,generating <*>,normal,0.99316055,2,No,N/A
